,date,fold,y_true,kmeans_state,hmm_state,kmeans_prob,hmm_prob_hard,hmm_prob_soft,kmeans_risk_rank,train_event_rate_x,hmm_risk_rank,train_event_rate_y,price
162,2009-08-24,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657534246468,1,0.0897226753670473,3,0.1424657534246575,1612.219970703125
163,2009-08-25,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657534080582,1,0.0897226753670473,3,0.1424657534246575,1601.3800048828125
164,2009-08-26,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424657518383618,1,0.0897226753670473,3,0.1424657534246575,1614.1199951171875
165,2009-08-27,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424654744127561,1,0.0897226753670473,3,0.1424657534246575,1599.3299560546875
166,2009-08-28,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1424562127984951,1,0.0897226753670473,3,0.1424657534246575,1607.93994140625
167,2009-08-31,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1423761565203752,1,0.0897226753670473,3,0.1424657534246575,1591.8499755859375
168,2009-09-01,1,0,0,2,0.0897226753670473,0.1424657534246575,0.1422129822795308,1,0.0897226753670473,3,0.1424657534246575,1623.06005859375
169,2009-09-02,1,0,0,2,0.0897226753670473,0.1424657534246575,0.138710212282975,1,0.0897226753670473,3,0.1424657534246575,1613.1600341796875
170,2009-09-03,1,0,0,0,0.0897226753670473,0.122,0.1307969464768063,1,0.0897226753670473,1,0.122,1613.530029296875
171,2009-09-04,1,0,0,0,0.0897226753670473,0.122,0.1238519675824167,1,0.0897226753670473,1,0.122,1608.9000244140625
172,2009-09-07,1,0,0,0,0.0897226753670473,0.122,0.1220944263784049,1,0.0897226753670473,1,0.122,1608.5699462890625
173,2009-09-08,1,0,0,0,0.0897226753670473,0.122,0.1220079096845924,1,0.0897226753670473,1,0.122,1619.68994140625
174,2009-09-09,1,0,0,0,0.0897226753670473,0.122,0.1220003576991278,1,0.0897226753670473,1,0.122,1607.77001953125
175,2009-09-10,1,0,0,0,0.0897226753670473,0.122,0.1220000361273647,1,0.0897226753670473,1,0.122,1644.6800537109375
176,2009-09-11,1,0,0,0,0.0897226753670473,0.122,0.1220000055258528,1,0.0897226753670473,1,0.122,1651.699951171875
177,2009-09-14,1,0,0,0,0.0897226753670473,0.122,0.1220000007485857,1,0.0897226753670473,1,0.122,1634.9100341796875
178,2009-09-15,1,0,0,0,0.0897226753670473,0.122,0.1220000005267123,1,0.0897226753670473,1,0.122,1653.4000244140625
179,2009-09-16,1,0,0,0,0.0897226753670473,0.122,0.1220000004599313,1,0.0897226753670473,1,0.122,1683.3299560546875
180,2009-09-17,1,0,0,0,0.0897226753670473,0.122,0.122000000400811,1,0.0897226753670473,1,0.122,1695.469970703125
181,2009-09-18,1,0,0,0,0.0897226753670473,0.122,0.1220000003437674,1,0.0897226753670473,1,0.122,1699.7099609375
182,2009-09-21,1,0,0,0,0.0897226753670473,0.122,0.1220000002358486,1,0.0897226753670473,1,0.122,1695.5
183,2009-09-22,1,0,0,0,0.0897226753670473,0.122,0.1220000001424985,1,0.0897226753670473,1,0.122,1718.8800048828125
184,2009-09-23,1,0,0,0,0.0897226753670473,0.122,0.1219999949833115,1,0.0897226753670473,1,0.122,1711.469970703125
185,2009-09-24,1,0,0,0,0.0897226753670473,0.122,0.1218450379129914,1,0.0897226753670473,1,0.122,1693.8800048828125
186,2009-09-25,1,0,0,0,0.0897226753670473,0.122,0.0822304989104373,1,0.0897226753670473,1,0.122,1691.47998046875
187,2009-09-28,1,0,0,1,0.0897226753670473,0.041970802919708,0.0421014860348502,1,0.0897226753670473,0,0.041970802919708,1675.550048828125
188,2009-09-29,1,0,0,1,0.0897226753670473,0.041970802919708,0.0419708432728736,1,0.0897226753670473,0,0.041970802919708,1690.050048828125
189,2009-09-30,1,0,0,1,0.0897226753670473,0.041970802919708,0.0419708029296657,1,0.0897226753670473,0,0.041970802919708,1673.1400146484375
190,2009-10-01,1,0,1,1,0.0553191489361702,0.041970802919708,0.0419708029197136,0,0.0553191489361702,0,0.041970802919708,1644.6300048828125
191,2009-10-05,1,0,1,1,0.0553191489361702,0.041970802919708,0.0419708029197081,0,0.0553191489361702,0,0.041970802919708,1606.9000244140625
192,2009-10-06,1,0,1,1,0.0553191489361702,0.041970802919708,0.0419708029197082,0,0.0553191489361702,0,0.041970802919708,1598.43994140625
193,2009-10-07,1,0,1,1,0.0553191489361702,0.041970802919708,0.0419708029197083,0,0.0553191489361702,0,0.041970802919708,1598.0
194,2009-10-08,1,0,1,1,0.0553191489361702,0.041970802919708,0.0419708029197082,0,0.0553191489361702,0,0.041970802919708,1615.4599609375
195,2009-10-09,1,0,0,1,0.0897226753670473,0.041970802919708,0.041970802919708,1,0.0897226753670473,0,0.041970802919708,1646.7900390625
196,2009-10-12,1,0,0,1,0.0897226753670473,0.041970802919708,0.041970802919708,1,0.0897226753670473,0,0.041970802919708,1639.81005859375
